idx,class,conversation
0,일반 대화,"오늘 날씨 정말 좋네요.\n그러게요. 어제는 흐리더니 오늘은 맑아서 기분이 좋아요.\n이런 날씨엔 어디 소풍이라도 가야 하는데 말이죠.\n맞아요. 주말에도 날씨가 이랬으면 좋겠어요.\n기상 예보 확인해 보셨어요?\n아니요, 아직이요. 지금 한번 볼까요?"
1,일반 대화,"점심 뭐 먹을까요?\n글쎄요... 어제는 중식 먹었으니까 오늘은 한식 어때요?\n좋아요. 김치찌개나 된장찌개 먹고 싶네요.\n그럼 근처에 새로 생긴 백반집 가볼까요? 평이 좋던데요.\n오, 거기요? 좋아요! 거기 가요.\n가서 메뉴 보고 정하죠."
2,일반 대화,"주말에 뭐 하셨어요?\n오랜만에 영화 보고 왔어요. 새로 개봉한 영화요.\n아, 그거 재밌다고 하던데. 어떠셨어요?\n기대했던 것보다 훨씬 재밌었어요! 추천해요.\n그래요? 저도 이번 주에 보러 가야겠네요.\n네, 꼭 보세요. 후회 안 하실 거예요."
3,일반 대화,"요즘 새로 시작한 취미 있으세요?\n네, 얼마 전부터 베이킹 배우기 시작했어요.\n와, 베이킹이요? 재밌겠네요. 어렵진 않으세요?\n생각보다 재밌어요. 어제는 쿠키를 구웠는데 다들 맛있다고 하더라고요.\n대단하시네요! 저도 한번 배워보고 싶었는데.\n같이 하실래요? 다음 주에 원데이 클래스 가는데."
4,일반 대화,"출근길에 차가 너무 막히지 않았어요?\n맞아요. 평소보다 30분은 더 걸린 것 같아요.\n무슨 사고라도 났나 봐요. 라디오에서도 계속 교통 정체 얘기가 나오더라고요.\n아, 그래서 그랬구나. 아침부터 진이 다 빠졌어요.\n그러게요. 퇴근할 때는 제발 안 막혔으면 좋겠네요.\n커피라도 한 잔 하면서 힘내시죠."
5,일반 대화,"오늘 저녁 메뉴는 뭐예요?\n글쎄요, 아직 못 정했어요. 뭐 먹고 싶은 거 있어요?\n저는 떡볶이가 먹고 싶은데.\n오, 떡볶이 좋아요! 그럼 집에 가는 길에 재료 사 갈까요?\n네! 제가 튀김이랑 순대도 같이 사 갈게요.\n좋죠. 얼른 퇴근하고 싶네요."
6,일반 대화,"요즘 건강 관리는 어떻게 하세요?\n별거 없어요. 그냥 일주일에 세 번 정도 헬스장 가요.\n와, 꾸준히 하시는 게 대단하네요. 전 등록만 하고 잘 안 가게 되던데.\n저도 처음엔 그랬어요. 습관 들이기가 어렵더라고요.\n무슨 운동 주로 하세요?\n근력 운동 위주로 하고 있어요. 같이 하실래요?"
7,일반 대화,"이번 여름휴가 계획은 세우셨어요?\n아니요, 아직 아무 계획도 못 세웠어요.\n저는 친구들이랑 제주도 가기로 했어요.\n와, 좋겠다! 제주도 간 지 오래됐는데.\n요즘 항공권이 싸게 나왔더라고요. 한번 알아보세요.\n그래야겠네요. 좋은 정보 고마워요."
8.일반 대화,"어제 새로 나온 드라마 봤어?\n아니? 뭐 새로 나왔는데?\n김수현 나오는 거. '눈물의 여왕'이라고. 진짜 재밌더라.\n아, 그거! 예고편만 봤는데 재밌어 보이긴 하더라.\n오늘 집에 가서 바로 봐야겠다. 너도 얼른 봐!\n알았어. 오늘 보고 내일 얘기하자."
9,일반 대화,"강아지 산책시키러 나오셨나 봐요.\n네. 날씨가 좋아서 잠깐 나왔어요.\n강아지가 너무 귀엽네요. 종이 뭐예요?\n비숑이에요. 이제 1년 됐어요.\n아, 정말요? 엄청 활발하네요. 저희 집 강아지는 늙어서 잠만 자는데.\n하하. 지금이 한창 뛰어놀 때라 감당이 안 되네요."
10,일반 대화,"이 근처에 맛있는 빵집 아세요?\n저기 사거리에 있는 '파란 지붕' 가보셨어요?\n아니요, 거긴 안 가봤어요. 맛있어요?\n네, 거기 소금빵이 진짜 맛있어요. 매일 일찍 품절돼요.\n그래요? 그럼 지금 빨리 가봐야겠네요!\n네. 한번 드셔보세요. 후회 안 하실 거예요."
11,일반 대화,"오늘 회의 자료 준비 다 됐어?\n응. 어젯밤에 마무리해서 팀장님께 메일로 보냈어.\n와, 빠르다. 나는 아직 절반도 못했는데.\n어려운 거 있어? 내가 좀 도와줄까?\n아니야, 괜찮아. 조금만 더 하면 끝날 것 같아.\n그래? 그럼 다 하고 커피 한잔하러 가자."
12,일반 대화,"새로 산 신발 예쁘네요.\n감사합니다. 어제 쇼핑하다가 세일하길래 샀어요.\n색깔이 잘 어울리세요. 편해 보이고요.\n네, 발도 편하고 디자인도 마음에 들어요.\n어디서 사셨는지 물어봐도 돼요?\n그럼요. 이따가 점심시간에 링크 보내드릴게요."
13,일반 대화,"오늘 저녁에 치킨 어때?\n치킨 좋지! 무슨 치킨 먹을까?\n나는 후라이드, 너는 양념 좋아하잖아. 반반 시키자.\n그래. 그럼 내가 주문할게. 콜라도?\n당연하지! 큰 걸로 시켜줘.\n알았어. 6시쯤 배달 오게 할게."
14,일반 대화,"요즘 잠을 잘 못 자는 것 같아.\n왜? 무슨 일 있어?\n그건 아닌데... 그냥 자꾸 중간에 깨. 불면증인가 봐.\n혹시 자기 전에 커피 마시거나 핸드폰 오래 해?\n아, 생각해보니 자기 직전까지 핸드폰 보긴 하네.\n그것 때문일 수도 있어. 자기 전 1시간은 핸드폰 보지 마 봐."
15,일반 대화,"이번 주말에 우리 집에서 넷플릭스 정주행 할래?\n좋지! 뭐 볼 건데?\n'기묘한 이야기' 마지막 시즌 나왔잖아. 그거 보자.\n와, 드디어! 나 그거 엄청 기다렸는데.\n그치? 내가 맛있는 거 많이 준비해 놓을게.\n좋아. 내가 가는 길에 팝콘이랑 콜라 사 갈게!"
16,일반 대화,"엘리베이터가 고장 났나 봐요.\n네? 아, 진짜요? 그럼 계단으로 가야 해요?\n그런 것 같아요. 여기 10층인데... 어떡하죠.\n아... 아침부터 등산하게 생겼네요.\n그러게요. 천천히 올라가시죠.\n네... 먼저 올라가세요."
17,일반 대화,"이 노래 제목 아세요? 지금 카페에서 나오는 거.\n어디... 아, 이 노래 알아요! 찰리 푸스 노래 아니에요?\n맞나? 가사는 잘 모르겠는데 멜로디가 너무 좋네요.\n한번 검색해 볼까요? 멜로디로 검색하는 기능 있잖아요.\n오, 좋은 생각이에요. 한번 해보세요.\n찾았어요! 'Attention' 맞네요."
18,일반 대화,"어제 축구 경기 봤어?\n당연하지! 진짜 역대급 경기였어.\n손흥민 마지막 골 넣었을 때 소름 돋았잖아.\n맞아. 보면서 나도 모르게 소리 질렀어.\n새벽까지 본 보람이 있다니까.\n그러게 말이야. 오늘 좀 피곤해도 기분은 최고다!"
19,일반 대화,"이사 준비는 잘 돼가?\n아직 멀었어. 짐 싸는 게 보통 일이 아니네.\n버릴 건 과감하게 버려야 하는데, 그게 잘 안돼.\n나도 알아. 나도 이사할 때마다 짐이 늘어나더라.\n도와줄 거 있으면 언제든 말해.\n정말? 그럼 이사하는 날 와서 좀 도와줄 수 있어?"
20,일반 대화,"오늘 미세먼지가 너무 심하네요.\n그러게요. 아침에 나오는데 앞이 뿌옇더라고요.\n목도 칼칼하고 눈도 따가운 것 같아요.\n마스크 꼭 쓰고 다니셔야겠어요. 전 KF94로 썼어요.\n저도 사무실에 오자마자 공기청정기부터 켰어요.\n이따 점심엔 그냥 구내식당에서 먹어야겠네요."
21,일반 대화,"팀장님, 혹시 지금 시간 괜찮으세요?\n네, 괜찮아요. 무슨 일이에요, 김 대리?\n다름이 아니라, 이번 프로젝트 관련해서 드릴 말씀이 있어서요.\n아, 그래요? 앉아서 얘기해요. 어떤 건데요?\n제가 생각한 아이디어가 있는데, 혹시 검토해 주실 수 있으실까요?\n그럼요. 자료 있으면 이리 줘봐요."
22,일반 대화,"요즘 '환승연애' 너무 재밌지 않아?\n나도 그거 봐! 진짜 과몰입하게 되더라.\n어제 나온 거 봤어? X가 다시 잡던데.\n헐, 진짜? 나 아직 못 봤는데! 스포하지 마!\n아, 미안 미안. 얼른 봐. 진짜 장난 아니야.\n알았어. 오늘 집에 가서 꼭 봐야겠다."
23,일반 대화,"저기요, 혹시 이 근처에 지하철역이 어디로 가야 해요?\n아, 여기서 길 건너서 오른쪽으로 쭉 가시면 돼요.\n오른쪽이요? 혹시 많이 먼가요?\n아니요. 한 5분 정도만 걸어가시면 바로 보여요.\n다행이다. 감사합니다!\n네, 조심히 가세요."
24,일반 대화,"새로 산 노트북 어때? 좋아 보여.\n응. 가볍고 빨라서 너무 좋아. 진작 바꿀 걸 그랬어.\n어떤 브랜드 샀어? 나도 지금 바꾸려고 하는데.\n나 이번에 맥북으로 바꿨어. M3 칩 나온 걸로.\n와, 부럽다. 나도 맥북 쓰고 싶은데 비싸서 고민 중이야.\n학생 할인받으면 좀 싸게 살 수 있어. 한번 알아봐."
25,일반 대화,"감기 기운이 있는 것 같아요.\n어쩐지 아까부터 콧물을 훌쩍거리더라. 병원 가봤어?\n아니, 아직. 그냥 약국에서 종합 감기약 사 먹었어.\n요즘 감기 독하대. 심해지기 전에 병원 가보는 게 어때?\n그래야겠어. 내일 점심시간에 잠깐 다녀와야겠다.\n응. 따뜻한 물도 많이 마시고."
26,일반 대화,"오늘 부장님 기분 안 좋아 보이시던데.\n맞아. 아침 회의 때부터 표정이 안 좋으시더라고.\n무슨 일 있으신가? 우리 때문은 아니겠지?\n글쎄... 우리 어제 보고서 마감 잘 지켰잖아.\n일단 오늘은 눈에 띄지 않게 조용히 있자.\n그게 상책이겠다."
27,일반 대화,"커피 한 잔 하실래요? 제가 살게요.\n좋죠. 안 그래도 잠이 좀 와서 커피 생각났는데.\n뭐 드실래요? 아메리카노? 라떼?\n전 아이스 아메리카노요. 샷 추가해서요.\n알겠습니다. 저는 달달한 바닐라 라떼 마셔야겠어요.\n다녀올게요. 잠시만 기다리세요."
28,일반 대화,"퇴근하고 뭐 해?\n나 오늘 약속 있어. 친구 만나서 저녁 먹기로 했어.\n그래? 나는 오늘 칼퇴하고 바로 집 가려고.\n집에 가서 뭐 하게?\n밀린 드라마 보면서 쉬어야지. 너무 피곤해.\n그것도 좋겠다. 그럼 내일 봐!"
29,일반 대화,"이거 어떻게 하는 건지 좀 알려줄 수 있어요?\n어떤 거요? 아, 이 프로그램 말씀이세요?\n네. 어제부터 계속 만져보고 있는데 너무 어렵네요.\n이건 이쪽 버튼을 누르고 데이터를 불러와야 해요.\n아, 이렇게 하는 거구나! 감사합니다.\n모르는 거 있으면 또 물어보세요."
30,일반 대화,"머리 스타일 바꾸셨네요? 잘 어울려요.\n아, 알아보셨네요? 감사합니다. 기분 전환 겸 잘랐어요.\n훨씬 가벼워 보이고 산뜻해 보여요.\n정말요? 다행이다. 안 어울릴까 봐 걱정했거든요.\n아니에요. 너무 예뻐요. 저도 자르고 싶어지네요.\n하하. 이따가 미용실 정보 드릴게요."
31,일반 대화,"오늘 점심 뭐였어요?\n구내식당에서 돈가스 나왔어요. 맛있던데요?\n아, 진짜요? 전 오늘 도시락 싸 와서... 돈가스 먹고 싶네요.\n내일은 맛있는 거 드세요. 내일 메뉴 뭐지?\n아까 보니까 \n제육볶음이던데요?\n오! 그럼 내일은 무조건 구내식당 가야겠네요."
32,일반 대화,"이 서류 혹시 언제까지 드리면 될까요?\n아, 그거 오늘 3시까지 부탁드려도 될까요?\n네. 그럼 검토하고 바로 전달드리겠습니다.\n감사합니다. 혹시 어려운 부분 있으면 편하게 물어보세요.\n알겠습니다. 이따 뵙겠습니다.\n네, 수고하세요."
33,일반 대화,"요즘 주식 시장이 너무 안 좋은 것 같아.\n맞아. 내 주식도 지금 다 파란불이야.\n언제쯤 오르려나... 그냥 지금이라도 다 팔아야 하나.\n조금만 더 기다려봐. 금방 회복될 수도 있잖아.\n그런가... 다들 힘들다고 하니까 나만 그런 건 아닌가 싶네.\n우리 맛있는 거나 먹으러 가자. 기분 전환하게."
34,일반 대화,"어? 지금 퇴근하시는 거예요?\n네. 오늘 일이 좀 일찍 끝나서요. 먼저 들어가 보겠습니다.\n부럽네요. 전 아직 한참 남았는데.\n힘내세요. 내일 봬요.\n네, 조심히 들어가세요!\n네. 수고하세요."
35,일반 대화,"택배 왔네요! 뭐 시키셨어요?\n아, 인터넷으로 주문한 옷이요. 드디어 왔네요.\n어디 한번 볼까요? 와, 색깔 예쁘다.\n그쵸? 화면에서 본 것보다 더 예쁜 것 같아요.\n한번 입어보세요. 잘 어울릴 것 같아요.\n네. 이따 점심시간에 한번 입어봐야겠어요."
36,일반 대화,"오늘 따라 유난히 피곤하네.\n어제 잠 못 잤어? 눈이 퀭한데.\n응. 늦게까지 유튜브 보다가 새벽에 잤어.\n어휴. 그러니까 피곤하지. 오늘 일찍 자.\n알았어. 점심 먹고 잠깐이라도 눈 좀 붙여야겠다.\n그래. 밥 먹고 깨워줄게."
37,일반 대화,"이 노래 너무 좋다. 누구 노래야?\n이거 아이유 신곡이잖아. 너 아직 안 들어봤어?\n아, 진짜? 요즘 노래를 통 안 들었더니.\n한번 들어봐. 앨범 전곡이 다 좋아.\n그래야겠다. 제목이 뭐라고?\n'Love wins all'이야. 뮤비도 꼭 봐!"
3Music,일반 대화,"오늘 저녁 약속 장소 어디로 정할까?\n음... 강남역 근처가 어떨까? 다들 오기 편할 것 같은데.\n좋아. 그럼 내가 맛집 좀 찾아볼게. 뭐 먹고 싶어?\n나는 파스타나 피자 같은 이탈리안 요리?\n오케이. 그럼 '강남역 맛집'으로 검색해 본다.\n찾으면 단톡방에 공유해 줘!"
39,일반 대화,"다시 태어나면 뭐 하고 싶어?\n음... 나는 건물주 하고 싶어.\n하하. 너무 현실적인 거 아니야?\n그럼 너는? 넌 뭐 하고 싶은데?\n나는 세계 여행하면서 자유롭게 살고 싶어.\n그것도 좋겠다. 일단 이번 생부터 열심히 살자."
40,일반 대화,"오늘따라 커피가 왜 이렇게 쓰지.\n그래? 나는 맛있는데. 너무 피곤해서 그런 거 아니야?\n그런가 봐. 샷을 너무 많이 넣었나.\n시럽 좀 넣어줄까? 여기 있는데.\n아니야, 괜찮아. 그냥 마실래. 잠 깨고 좋지 뭐.\n그래. 그럼 조금만 마시고 쉬었다 해."
41,일반 대화,"휴대폰 배터리가 벌써 20%밖에 안 남았네.\n보조배터리 안 가져왔어? 내 거 빌려줄까?\n아, 진짜? 그럼 너무 고맙지! 케이블은 있어?\n응. C타입, 8핀 다 있어. 어떤 거 쓰는데?\n나 아이폰이라 8핀 써야 해.\n알았어. 잠깐만 기다려. 가방에서 꺼내줄게."
42,일반 대화,"주말에 소개팅했는데 잘 안됐어.\n왜? 무슨 일 있었어?\n그냥... 나랑은 좀 안 맞는 사람 같더라고.\n어떤 점이?\n말도 잘 안 통하고, 공감대도 없고... 밥만 먹고 헤어졌어.\n아쉽네. 더 좋은 사람 만날 수 있을 거야. 힘내!\n그래, 고맙다."
43,일반 대화,"이거 1+1 행사 상품인데 하나 드릴까요?\n어, 정말요? 뭔데요?\n비타민 음료요. 아침에 피곤해 보이셔서요.\n감사합니다! 잘 마실게요. \n00씨도 하나 드세요.\n저는 괜찮아요. 맛있게 드세요.\n덕분에 힘이 나네요. 고마워요."
44,일반 대화,"오늘 회식 장소 어디로 정해졌어요?\n어제 공지한 거 못 봤어요? 1층 로비에 있는 삼겹살집이요.\n아, 진짜요? 전 오늘따라 파스타가 먹고 싶었는데.\n어쩔 수 없죠. 부장님이 삼겹살 먹고 싶다고 하셔서.\n하긴... 그래도 고기 먹으면 기분은 풀리겠죠?\n그럼요. 이따가 맛있게 먹어요, 우리."
45,일반 대화,"이번 달 월급은 언제 들어온대?\n원래 25일인데, 이번 달은 주말이 껴서 23일에 들어온다던데.\n헐, 진짜? 그럼 내일모레 들어오는 거네?\n응. 그래서 다들 오늘 기분이 좋아 보이나 봐.\n대박. 뭐 살지 미리 장바구니에 담아놔야겠다.\n나는 적금부터 넣어야지..."
46,일반 대화,"저기요, 혹시 지금 몇 시인지 알 수 있을까요?\n네, 지금 3시 15분이요.\n아, 감사합니다. 제가 핸드폰을 두고 와서요.\n아, 그러셨구나. 혹시 급한 연락 오실 데 있으세요?\n아니요. 그건 아닌데... 그냥 시간이 궁금해서요.\n네. 알겠습니다."
47,일반 대화,"내일 연차 쓰신 거예요? 부럽다.\n네. 병원 가야 할 일이 있어서요.\n아, 어디 안 좋으세요?\n그건 아니고, 정기 검진받으러 가는 거예요.\n다행이네요. 그럼 푹 쉬고 오세요.\n네. 감사합니다. 내일 봬요."
